,Port Number,Description
240,112,McIDAS Data Transmission Protocol
241,113,
242,113,Authentication Service
243,113,Authentication Service
244,114,unassigned
245,115,Simple File Transfer Protocol
246,115,Simple File Transfer Protocol
247,116,ANSA REX Notify
248,116,ANSA REX Notify
249,117,UUCP Path Service
250,117,UUCP Path Service
251,118,SQL Services
252,118,SQL Services
253,119,Network News Transfer Protocol
254,119,Network News Transfer Protocol
255,120,CFDPTKT
256,120,CFDPTKT
257,121,Encore Expedited Remote Pro.Call
258,121,Encore Expedited Remote Pro.Call
259,122,SMAKYNET
260,122,SMAKYNET
261,123,Network Time Protocol
262,123,Network Time Protocol
263,124,ANSA REX Trader
264,124,ANSA REX Trader
265,125,Locus PC-Interface Net Map Ser
266,125,Locus PC-Interface Net Map Ser
267,126,NXEdit
268,126,NXEdit
269,127,Locus PC-Interface Conn Server
270,127,Locus PC-Interface Conn Server
271,128,GSS X License Verification
272,128,GSS X License Verification
273,129,Password Generator Protocol
274,129,Password Generator Protocol
275,130,cisco FNATIVE
276,130,cisco FNATIVE
277,131,cisco TNATIVE
278,131,cisco TNATIVE
279,132,cisco SYSMAINT
280,132,cisco SYSMAINT
281,133,Statistics Service
282,133,Statistics Service
283,134,INGRES-NET Service
284,134,INGRES-NET Service
285,135,DCE endpoint resolution
286,135,DCE endpoint resolution
287,136,PROFILE Naming System
288,136,PROFILE Naming System
289,137,NETBIOS Name Service
290,137,NETBIOS Name Service
291,138,NETBIOS Datagram Service
292,138,NETBIOS Datagram Service
293,139,NETBIOS Session Service
294,139,NETBIOS Session Service
295,140,EMFIS Data Service
296,140,EMFIS Data Service
297,141,EMFIS Control Service
298,141,EMFIS Control Service
299,142,Britton-Lee IDM
300,142,Britton-Lee IDM
301,143,Internet Message Access Protocol
302,143,Internet Message Access Protocol
303,144,Universal Management Architecture
304,144,Universal Management Architecture
305,145,UAAC Protocol
306,145,UAAC Protocol
307,146,ISO-IP0
308,146,ISO-IP0
309,147,ISO-IP
310,147,ISO-IP
311,148,Jargon
312,148,Jargon
313,149,AED 512 Emulation Service
314,149,AED 512 Emulation Service
315,150,SQL-NET
316,150,SQL-NET
317,151,HEMS
318,151,HEMS
319,152,Background File Transfer Program
320,152,Background File Transfer Program
321,153,SGMP
322,153,SGMP
323,154,NETSC
324,154,NETSC
325,155,NETSC
326,155,NETSC
327,156,SQL Service
328,156,SQL Service
329,157,KNET/VM Command/Message Protocol
330,157,KNET/VM Command/Message Protocol
331,158,PCMail Server
332,158,PCMail Server
333,159,NSS-Routing
334,159,NSS-Routing
335,160,SGMP-TRAPS
336,160,SGMP-TRAPS
337,161,SNMP
338,161,SNMP
339,162,SNMPTRAP
340,162,SNMPTRAP
341,163,CMIP/TCP Manager
342,163,CMIP/TCP Manager
343,164,CMIP/TCP Agent
344,164,CMIP/TCP Agent
345,165,Xerox
346,165,Xerox
347,166,Sirius Systems
348,166,Sirius Systems
349,167,NAMP
350,167,NAMP
351,168,RSVD
352,168,RSVD
353,169,SEND
354,169,SEND
355,170,Network PostScript
356,170,Network PostScript
357,171,Network Innovations Multiplex
358,171,Network Innovations Multiplex
359,172,"Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
360,172,Network Innovations CL/1
361,172,"Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
362,172,Network Innovations CL/1
363,173,Xyplex
364,173,Xyplex
365,174,MAILQ
366,174,MAILQ
367,175,VMNET
368,175,VMNET
369,176,GENRAD-MUX
370,176,GENRAD-MUX
371,177,X Display Manager Control Protocol
372,177,X Display Manager Control Protocol
373,178,NextStep Window Server
374,178,NextStep Window Server
375,179,Border Gateway Protocol
376,179,Border Gateway Protocol
377,179,BGP
378,180,Intergraph
379,180,Intergraph
380,181,Unify
381,181,Unify
382,182,Unisys Audit SITP
383,182,Unisys Audit SITP
384,183,OCBinder
385,183,OCBinder
386,184,OCServer
387,184,OCServer
388,185,Remote-KIS
389,185,Remote-KIS
390,186,KIS Protocol
391,186,KIS Protocol
392,187,Application Communication Interface
393,187,Application Communication Interface
394,188,Plus Five's MUMPS
395,188,Plus Five's MUMPS
396,189,Queued File Transport
397,189,Queued File Transport
398,190,Gateway Access Control Protocol
399,190,Gateway Access Control Protocol
400,191,Prospero Directory Service
401,191,Prospero Directory Service
402,192,OSU Network Monitoring System
403,192,OSU Network Monitoring System
404,193,Spider Remote Monitoring Protocol
405,193,Spider Remote Monitoring Protocol
406,194,Internet Relay Chat Protocol
407,194,Internet Relay Chat Protocol
408,195,DNSIX Network Level Module Audit
409,195,DNSIX Network Level Module Audit
410,196,DNSIX Session Mgt Module Audit Redir
411,196,DNSIX Session Mgt Module Audit Redir
412,197,Directory Location Service
413,197,Directory Location Service
414,198,Directory Location Service Monitor
415,198,Directory Location Service Monitor
416,199,SMUX
417,199,SMUX
418,200,IBM System Resource Controller
419,200,IBM System Resource Controller
420,201,AppleTalk Routing Maintenance
421,201,AppleTalk Routing Maintenance
422,202,AppleTalk Name Binding
423,202,AppleTalk Name Binding
424,203,AppleTalk Unused
425,203,AppleTalk Unused
426,204,AppleTalk Echo
427,204,AppleTalk Echo
428,205,AppleTalk Unused
429,205,AppleTalk Unused
430,206,AppleTalk Zone Information
431,206,AppleTalk Zone Information
432,207,AppleTalk Unused
433,207,AppleTalk Unused
434,208,AppleTalk Unused
435,208,AppleTalk Unused
436,209,The Quick Mail Transfer Protocol
437,209,The Quick Mail Transfer Protocol
438,210,"ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
439,210,ANSI Z39.50
440,210,"ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
441,210,ANSI Z39.50
442,211,"Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
443,211,Texas Instruments 914C/G Terminal
