,Port Number,Description
2100,1307,Pacmand
2101,1307,Pacmand
2102,1308,Optical Domain Service Interconnect (ODSI)
2103,1308,Optical Domain Service Interconnect (ODSI)
2104,1309,JTAG server
2105,1309,JTAG server
2106,1310,Husky
2107,1310,Husky
2108,1311,RxMon
2109,1311,RxMon
2110,1312,STI Envision
2111,1312,STI Envision
2112,1313,"BMC_PATROLDB
IANA assigned this well-formed service name as a replacement for ""bmc_patroldb""."
2113,1313,BMC_PATROLDB
2114,1313,"BMC_PATROLDB
IANA assigned this well-formed service name as a replacement for ""bmc_patroldb""."
2115,1313,BMC_PATROLDB
2116,1314,Photoscript Distributed Printing System
2117,1314,Photoscript Distributed Printing System
2118,1315,"E.L.S., Event Listener Service"
2119,1315,"E.L.S., Event Listener Service"
2120,1316,Exbit-ESCP
2121,1316,Exbit-ESCP
2122,1317,vrts-ipcserver
2123,1317,vrts-ipcserver
2124,1318,krb5gatekeeper
2125,1318,krb5gatekeeper
2126,1319,AMX-ICSP
2127,1319,AMX-ICSP
2128,1320,AMX-AXBNET
2129,1320,AMX-AXBNET
2130,1321,PIP
2131,1321,PIP
2132,1322,Novation
2133,1322,Novation
2134,1323,brcd
2135,1323,brcd
2136,1324,delta-mcp
2137,1324,delta-mcp
2138,1325,DX-Instrument
2139,1325,DX-Instrument
2140,1326,WIMSIC
2141,1326,WIMSIC
2142,1327,Ultrex
2143,1327,Ultrex
2144,1328,EWALL
2145,1328,EWALL
2146,1329,netdb-export
2147,1329,netdb-export
2148,1330,StreetPerfect
2149,1330,StreetPerfect
2150,1331,intersan
2151,1331,intersan
2152,1332,PCIA RXP-B
2153,1332,PCIA RXP-B
2154,1333,Password Policy
2155,1333,Password Policy
2156,1334,writesrv
2157,1334,writesrv
2158,1335,Digital Notary Protocol
2159,1335,Digital Notary Protocol
2160,1336,Instant Service Chat
2161,1336,Instant Service Chat
2162,1337,menandmice DNS
2163,1337,menandmice DNS
2164,1338,WMC-log-svr
2165,1338,WMC-log-svr
2166,1339,kjtsiteserver
2167,1339,kjtsiteserver
2168,1340,NAAP
2169,1340,NAAP
2170,1341,QuBES
2171,1341,QuBES
2172,1342,ESBroker
2173,1342,ESBroker
2174,1343,re101
2175,1343,re101
2176,1344,ICAP
2177,1344,ICAP
2178,1345,VPJP
2179,1345,VPJP
2180,1346,Alta Analytics License Manager
2181,1346,Alta Analytics License Manager
2182,1347,multi media conferencing
2183,1347,multi media conferencing
2184,1348,multi media conferencing
2185,1348,multi media conferencing
2186,1349,Registration Network Protocol
2187,1349,Registration Network Protocol
2188,1350,Registration Network Protocol
2189,1350,Registration Network Protocol
2190,1351,Digital Tool Works (MIT)
2191,1351,Digital Tool Works (MIT)
2192,1352,Lotus Note
2193,1352,Lotus Note
2194,1353,Relief Consulting
2195,1353,Relief Consulting
2196,1354,Five Across XSIP Network
2197,1354,Five Across XSIP Network
2198,1355,Intuitive Edge
2199,1355,Intuitive Edge
2200,1356,CuillaMartin Company
2201,1356,CuillaMartin Company
2202,1357,Electronic PegBoard
2203,1357,Electronic PegBoard
2204,1358,CONNLCLI
2205,1358,CONNLCLI
2206,1359,FTSRV
2207,1359,FTSRV
2208,1360,MIMER
2209,1360,MIMER
2210,1361,LinX
2211,1361,LinX
2212,1362,TimeFlies
2213,1362,TimeFlies
2214,1363,Network DataMover Requester
2215,1363,Network DataMover Requester
2216,1364,Network DataMover Server
2217,1364,Network DataMover Server
2218,1365,Network Software Associates
2219,1365,Network Software Associates
2220,1366,Novell NetWare Comm Service Platform
2221,1366,Novell NetWare Comm Service Platform
2222,1367,DCS
2223,1367,DCS
2224,1368,ScreenCast
2225,1368,ScreenCast
2226,1369,GlobalView to Unix Shell
2227,1369,GlobalView to Unix Shell
2228,1370,Unix Shell to GlobalView
2229,1370,Unix Shell to GlobalView
2230,1371,Fujitsu Config Protocol
2231,1371,Fujitsu Config Protocol
2232,1372,Fujitsu Config Protocol
2233,1372,Fujitsu Config Protocol
2234,1373,Chromagrafx
2235,1373,Chromagrafx
2236,1374,EPI Software Systems
2237,1374,EPI Software Systems
2238,1375,Bytex
2239,1375,Bytex
2240,1376,IBM Person to Person Software
2241,1376,IBM Person to Person Software
2242,1377,Cichlid License Manager
2243,1377,Cichlid License Manager
2244,1378,Elan License Manager
2245,1378,Elan License Manager
2246,1379,Integrity Solutions
2247,1379,Integrity Solutions
2248,1380,Telesis Network License Manager
2249,1380,Telesis Network License Manager
2250,1381,Apple Network License Manager
2251,1381,Apple Network License Manager
2252,1382,"udt_os
IANA assigned this well-formed service name as a replacement for ""udt_os""."
2253,1382,udt_os
2254,1382,"udt_os
IANA assigned this well-formed service name as a replacement for ""udt_os""."
2255,1382,udt_os
2256,1383,GW Hannaway Network License Manager
2257,1383,GW Hannaway Network License Manager
2258,1384,Objective Solutions License Manager
2259,1384,Objective Solutions License Manager
2260,1385,"Atex Publishing License Manager
IANA assigned this well-formed service name as a replacement for ""atex_elmd""."
2261,1385,Atex Publishing License Manager
2262,1385,"Atex Publishing License Manager
IANA assigned this well-formed service name as a replacement for ""atex_elmd""."
2263,1385,Atex Publishing License Manager
2264,1386,CheckSum License Manager
2265,1386,CheckSum License Manager
2266,1387,Computer Aided Design Software Inc LM
2267,1387,Computer Aided Design Software Inc LM
2268,1388,Objective Solutions DataBase Cache
2269,1388,Objective Solutions DataBase Cache
2270,1389,Document Manager
2271,1389,Document Manager
2272,1390,Storage Controller
2273,1390,Storage Controller
2274,1391,Storage Access Server
2275,1391,Storage Access Server
2276,1392,Print Manager
2277,1392,Print Manager
2278,1393,Network Log Server
2279,1393,Network Log Server
2280,1394,Network Log Client
2281,1394,Network Log Client
2282,1395,PC Workstation Manager software
2283,1395,PC Workstation Manager software
2284,1396,DVL Active Mail
2285,1396,DVL Active Mail
2286,1397,Audio Active Mail
2287,1397,Audio Active Mail
2288,1398,Video Active Mail
2289,1398,Video Active Mail
2290,1399,Cadkey License Manager
2291,1399,Cadkey License Manager
2292,1400,Cadkey Tablet Daemon
2293,1400,Cadkey Tablet Daemon
2294,1401,Goldleaf License Manager
2295,1401,Goldleaf License Manager
2296,1402,Prospero Resource Manager
2297,1402,Prospero Resource Manager
2298,1403,Prospero Resource Manager
2299,1403,Prospero Resource Manager
2300,1404,Infinite Graphics License Manager
2301,1404,Infinite Graphics License Manager
2302,1405,IBM Remote Execution Starter
2303,1405,IBM Remote Execution Starter
2304,1406,NetLabs License Manager
2305,1406,NetLabs License Manager
2306,1407,TIBET Data Server
2307,1407,Reserved
2308,1408,Sophia License Manager
2309,1408,Sophia License Manager
2310,1409,Here License Manager
2311,1409,Here License Manager
2312,1410,HiQ License Manager
2313,1410,HiQ License Manager
2314,1411,AudioFile
2315,1411,AudioFile
2316,1412,InnoSys
2317,1412,InnoSys
2318,1413,Innosys-ACL
2319,1413,Innosys-ACL
2320,1414,IBM MQSeries
2321,1414,IBM MQSeries
2322,1415,DBStar
2323,1415,DBStar
2324,1416,"Novell LU6.2
IANA assigned this well-formed service name as a replacement for ""novell-lu6.2""."
2325,1416,Novell LU6.2
2326,1416,"Novell LU6.2
IANA assigned this well-formed service name as a replacement for ""novell-lu6.2""."
2327,1416,Novell LU6.2
2328,1417,Timbuktu Service 1 Port
2329,1417,Timbuktu Service 1 Port
2330,1418,Timbuktu Service 2 Port
2331,1418,Timbuktu Service 2 Port
2332,1419,Timbuktu Service 3 Port
2333,1419,Timbuktu Service 3 Port
2334,1420,Timbuktu Service 4 Port
2335,1420,Timbuktu Service 4 Port
2336,1421,Gandalf License Manager
2337,1421,Gandalf License Manager
2338,1422,Autodesk License Manager
2339,1422,Autodesk License Manager
2340,1423,Essbase Arbor Software
2341,1423,Essbase Arbor Software
2342,1424,Hybrid Encryption Protocol
2343,1424,Hybrid Encryption Protocol
2344,1425,Zion Software License Manager
2345,1425,Zion Software License Manager
2346,1426,Satellite-data Acquisition System 1
2347,1426,Satellite-data Acquisition System 1
2348,1427,mloadd monitoring tool
2349,1427,mloadd monitoring tool
2350,1428,Informatik License Manager
2351,1428,Informatik License Manager
2352,1429,Hypercom NMS
2353,1429,Hypercom NMS
2354,1430,Hypercom TPDU
2355,1430,Hypercom TPDU
2356,1431,Reverse Gossip Transport
2357,1431,Reverse Gossip Transport
2358,1432,Blueberry Software License Manager
2359,1432,Blueberry Software License Manager
2360,1433,Microsoft-SQL-Server
2361,1433,Microsoft-SQL-Server
2362,1434,Microsoft-SQL-Monitor
2363,1434,Microsoft-SQL-Monitor
2364,1435,IBM CICS
2365,1435,IBM CICS
2366,1436,Satellite-data Acquisition System 2
2367,1436,Satellite-data Acquisition System 2
2368,1437,Tabula
2369,1437,Tabula
2370,1438,Eicon Security Agent/Server
2371,1438,Eicon Security Agent/Server
2372,1439,Eicon X25/SNA Gateway
2373,1439,Eicon X25/SNA Gateway
2374,1440,Eicon Service Location Protocol
2375,1440,Eicon Service Location Protocol
2376,1441,Cadis License Management
2377,1441,Cadis License Management
2378,1442,Cadis License Management
2379,1442,Cadis License Management
2380,1443,Integrated Engineering Software
2381,1443,Integrated Engineering Software
2382,1444,Marcam  License Management
2383,1444,Marcam  License Management
2384,1445,Proxima License Manager
2385,1445,Proxima License Manager
2386,1446,Optical Research Associates License Manager
2387,1446,Optical Research Associates License Manager
2388,1447,Applied Parallel Research LM
2389,1447,Applied Parallel Research LM
2390,1448,OpenConnect License Manager
2391,1448,OpenConnect License Manager
2392,1449,PEport
2393,1449,PEport
2394,1450,Tandem Distributed Workbench Facility
2395,1450,Tandem Distributed Workbench Facility
2396,1451,IBM Information Management
2397,1451,IBM Information Management
2398,1452,GTE Government Systems License Man
2399,1452,GTE Government Systems License Man
2400,1453,Genie License Manager
2401,1453,Genie License Manager
2402,1454,"interHDL License Manager
IANA assigned this well-formed service name as a replacement for ""interhdl_elmd""."
2403,1454,interHDL License Manager
2404,1454,"interHDL License Manager
IANA assigned this well-formed service name as a replacement for ""interhdl_elmd""."
2405,1454,interHDL License Manager
2406,1455,ESL License Manager
2407,1455,ESL License Manager
2408,1456,DCA
2409,1456,DCA
2410,1457,Valisys License Manager
2411,1457,Valisys License Manager
2412,1458,Nichols Research Corp.
2413,1458,Nichols Research Corp.
2414,1459,Proshare Notebook Application
2415,1459,Proshare Notebook Application
2416,1460,Proshare Notebook Application
2417,1460,Proshare Notebook Application
2418,1461,"IBM Wireless LAN
IANA assigned this well-formed service name as a replacement for ""ibm_wrless_lan""."
2419,1461,IBM Wireless LAN
2420,1461,"IBM Wireless LAN
IANA assigned this well-formed service name as a replacement for ""ibm_wrless_lan""."
2421,1461,IBM Wireless LAN
2422,1462,World License Manager
2423,1462,World License Manager
2424,1463,Nucleus
2425,1463,Nucleus
2426,1464,"MSL License Manager
IANA assigned this well-formed service name as a replacement for ""msl_lmd""."
2427,1464,MSL License Manager
2428,1464,"MSL License Manager
IANA assigned this well-formed service name as a replacement for ""msl_lmd""."
2429,1464,MSL License Manager
2430,1465,Pipes Platform
2431,1465,Pipes Platform
2432,1466,Ocean Software License Manager
2433,1466,Ocean Software License Manager
2434,1467,CSDMBASE
2435,1467,CSDMBASE
2436,1468,CSDM
2437,1468,CSDM
2438,1469,Active Analysis Limited License Manager
2439,1469,Active Analysis Limited License Manager
2440,1470,Universal Analytics
2441,1470,Universal Analytics
2442,1471,csdmbase
2443,1471,csdmbase
2444,1472,csdm
2445,1472,csdm
2446,1473,OpenMath
2447,1473,OpenMath
2448,1474,Telefinder
2449,1474,Telefinder
2450,1475,Taligent License Manager
2451,1475,Taligent License Manager
2452,1476,clvm-cfg
2453,1476,clvm-cfg
2454,1477,ms-sna-server
2455,1477,ms-sna-server
2456,1478,ms-sna-base
2457,1478,ms-sna-base
2458,1479,dberegister
2459,1479,dberegister
2460,1480,PacerForum
2461,1480,PacerForum
2462,1481,AIRS
2463,1481,AIRS
2464,1482,Miteksys License Manager
2465,1482,Miteksys License Manager
2466,1483,AFS License Manager
2467,1483,AFS License Manager
2468,1484,Confluent License Manager
2469,1484,Confluent License Manager
2470,1485,LANSource
2471,1485,LANSource
2472,1486,"nms_topo_serv
IANA assigned this well-formed service name as a replacement for ""nms_topo_serv""."
2473,1486,nms_topo_serv
2474,1486,"nms_topo_serv
IANA assigned this well-formed service name as a replacement for ""nms_topo_serv""."
2475,1486,nms_topo_serv
2476,1487,LocalInfoSrvr
2477,1487,LocalInfoSrvr
2478,1488,DocStor
2479,1488,DocStor
2480,1489,dmdocbroker
2481,1489,dmdocbroker
2482,1490,insitu-conf
2483,1490,insitu-conf
2484,1491,Unassigned
2485,1492,stone-design-1
2486,1492,stone-design-1
2487,1493,"netmap_lm
IANA assigned this well-formed service name as a replacement for ""netmap_lm""."
2488,1493,netmap_lm
2489,1493,"netmap_lm
IANA assigned this well-formed service name as a replacement for ""netmap_lm""."
2490,1493,netmap_lm
2491,1494,ica
2492,1494,ica
2493,1495,cvc
2494,1495,cvc
2495,1496,liberty-lm
2496,1496,liberty-lm
2497,1497,rfx-lm
2498,1497,rfx-lm
2499,1498,Sybase SQL Any
2500,1498,Sybase SQL Any
2501,1499,Federico Heinz Consultora
2502,1499,Federico Heinz Consultora
2503,1500,VLSI License Manager
2504,1500,VLSI License Manager
2505,1501,Satellite-data Acquisition System 3
2506,1501,Satellite-data Acquisition System 3
2507,1502,Shiva
2508,1502,Shiva
2509,1503,Databeam
2510,1503,Databeam
2511,1504,EVB Software Engineering License Manager
2512,1504,EVB Software Engineering License Manager
2513,1505,"Funk Software, Inc."
2514,1505,"Funk Software, Inc."
2515,1506,Universal Time daemon (utcd)
2516,1506,Universal Time daemon (utcd)
2517,1507,symplex
2518,1507,symplex
2519,1508,diagmond
2520,1508,diagmond
2521,1509,"Robcad, Ltd. License Manager"
2522,1509,"Robcad, Ltd. License Manager"
2523,1510,Midland Valley Exploration Ltd. Lic. Man.
2524,1510,Midland Valley Exploration Ltd. Lic. Man.
2525,1511,3l-l1
2526,1511,3l-l1
2527,1512,Microsoft's Windows Internet Name Service
2528,1512,Microsoft's Windows Internet Name Service
2529,1513,"Fujitsu Systems Business of America, Inc"
2530,1513,"Fujitsu Systems Business of America, Inc"
2531,1514,"Fujitsu Systems Business of America, Inc"
2532,1514,"Fujitsu Systems Business of America, Inc"
2533,1515,ifor-protocol
2534,1515,ifor-protocol
2535,1516,Virtual Places Audio data
2536,1516,Virtual Places Audio data
2537,1517,Virtual Places Audio control
2538,1517,Virtual Places Audio control
2539,1518,Virtual Places Video data
2540,1518,Virtual Places Video data
2541,1519,Virtual Places Video control
2542,1519,Virtual Places Video control
2543,1520,atm zip office
2544,1520,atm zip office
2545,1521,nCube License Manager
2546,1521,nCube License Manager
2547,1522,Ricardo North America License Manager
2548,1522,Ricardo North America License Manager
2549,1523,cichild
2550,1523,cichild
2551,1524,ingres
2552,1524,ingres
2553,1525,oracle
2554,1525,oracle
2555,1525,Prospero Directory Service non-priv
2556,1525,Prospero Directory Service non-priv
2557,1526,Prospero Data Access Prot non-priv
2558,1526,Prospero Data Access Prot non-priv
2559,1527,oracle
2560,1527,oracle
2561,1528,Reserved
2562,1528,NGR transport protocol for mobile ad-hoc networks
2563,1529,oracle
2564,1529,oracle
2565,1530,rap-service
2566,1530,rap-service
2567,1531,rap-listen
2568,1531,rap-listen
2569,1532,miroconnect
2570,1532,miroconnect
2571,1533,Virtual Places Software
2572,1533,Virtual Places Software
2573,1534,micromuse-lm
2574,1534,micromuse-lm
2575,1535,ampr-info
2576,1535,ampr-info
2577,1536,ampr-inter
2578,1536,ampr-inter
2579,1537,isi-lm
2580,1537,isi-lm
2581,1538,3ds-lm
2582,1538,3ds-lm
2583,1539,Intellistor License Manager
2584,1539,Intellistor License Manager
2585,1540,rds
2586,1540,rds
2587,1541,rds2
2588,1541,rds2
2589,1542,gridgen-elmd
2590,1542,gridgen-elmd
2591,1543,simba-cs
2592,1543,simba-cs
2593,1544,aspeclmd
2594,1544,aspeclmd
2595,1545,vistium-share
2596,1545,vistium-share
2597,1546,abbaccuray
2598,1546,abbaccuray
2599,1547,laplink
2600,1547,laplink
2601,1548,Axon License Manager
2602,1548,Axon License Manager
2603,1549,Shiva Hose
2604,1549,Shiva Sound
2605,1550,Image Storage license manager 3M Company
2606,1550,Image Storage license manager 3M Company
2607,1551,HECMTL-DB
2608,1551,HECMTL-DB
2609,1552,pciarray
2610,1552,pciarray
2611,1553,sna-cs
2612,1553,sna-cs
2613,1554,CACI Products Company License Manager
2614,1554,CACI Products Company License Manager
2615,1555,livelan
2616,1555,livelan
2617,1556,"VERITAS Private Branch Exchange
IANA assigned this well-formed service name as a replacement for ""veritas_pbx""."
2618,1556,VERITAS Private Branch Exchange
2619,1556,"VERITAS Private Branch Exchange
IANA assigned this well-formed service name as a replacement for ""veritas_pbx""."
2620,1556,VERITAS Private Branch Exchange
2621,1557,ArborText License Manager
2622,1557,ArborText License Manager
2623,1558,xingmpeg
2624,1558,xingmpeg
2625,1559,web2host
2626,1559,web2host
2627,1560,ASCI-RemoteSHADOW
2628,1560,ASCI-RemoteSHADOW
2629,1561,facilityview
2630,1561,facilityview
2631,1562,pconnectmgr
2632,1562,pconnectmgr
2633,1563,Cadabra License Manager
2634,1563,Cadabra License Manager
2635,1564,Pay-Per-View
2636,1564,Pay-Per-View
2637,1565,WinDD
2638,1565,WinDD
2639,1566,CORELVIDEO
2640,1566,CORELVIDEO
2641,1567,jlicelmd
2642,1567,jlicelmd
2643,1568,tsspmap
2644,1568,tsspmap
2645,1569,ets
2646,1569,ets
2647,1570,orbixd
2648,1570,orbixd
2649,1571,Oracle Remote Data Base
2650,1571,Oracle Remote Data Base
2651,1572,Chipcom License Manager
2652,1572,Chipcom License Manager
2653,1573,itscomm-ns
2654,1573,itscomm-ns
2655,1574,mvel-lm
2656,1574,mvel-lm
2657,1575,oraclenames
2658,1575,oraclenames
2659,1576,Moldflow License Manager
2660,1576,Moldflow License Manager
2661,1577,hypercube-lm
2662,1577,hypercube-lm
2663,1578,Jacobus License Manager
2664,1578,Jacobus License Manager
2665,1579,ioc-sea-lm
2666,1579,ioc-sea-lm
2667,1580,tn-tl-r1
2668,1580,tn-tl-r2
2669,1581,MIL-2045-47001
2670,1581,MIL-2045-47001
2671,1582,MSIMS
2672,1582,MSIMS
2673,1583,simbaexpress
2674,1583,simbaexpress
2675,1584,tn-tl-fd2
2676,1584,tn-tl-fd2
2677,1585,intv
2678,1585,intv
2679,1586,ibm-abtact
2680,1586,ibm-abtact
2681,1587,"pra_elmd
IANA assigned this well-formed service name as a replacement for ""pra_elmd""."
2682,1587,pra_elmd
2683,1587,"pra_elmd
IANA assigned this well-formed service name as a replacement for ""pra_elmd""."
2684,1587,pra_elmd
2685,1588,triquest-lm
2686,1588,triquest-lm
2687,1589,VQP
2688,1589,VQP
2689,1590,gemini-lm
2690,1590,gemini-lm
2691,1591,ncpm-pm
2692,1591,ncpm-pm
2693,1592,commonspace
2694,1592,commonspace
2695,1593,mainsoft-lm
2696,1593,mainsoft-lm
2697,1594,sixtrak
2698,1594,sixtrak
2699,1595,radio
2700,1595,radio
2701,1596,radio-sm
2702,1596,radio-bc
2703,1597,orbplus-iiop
2704,1597,orbplus-iiop
2705,1598,picknfs
2706,1598,picknfs
2707,1599,simbaservices
2708,1599,simbaservices
2709,1600,issd
2710,1600,issd
2711,1601,aas
2712,1601,aas
2713,1602,inspect
2714,1602,inspect
2715,1603,pickodbc
2716,1603,pickodbc
2717,1604,icabrowser
2718,1604,icabrowser
2719,1605,Salutation Manager (Salutation Protocol)
2720,1605,Salutation Manager (Salutation Protocol)
2721,1606,Salutation Manager (SLM-API)
2722,1606,Salutation Manager (SLM-API)
2723,1607,stt
2724,1607,stt
2725,1608,Smart Corp. License Manager
2726,1608,Smart Corp. License Manager
2727,1609,isysg-lm
2728,1609,isysg-lm
2729,1610,taurus-wh
2730,1610,taurus-wh
2731,1611,Inter Library Loan
2732,1611,Inter Library Loan
2733,1612,NetBill Transaction Server
2734,1612,NetBill Transaction Server
2735,1613,NetBill Key Repository
2736,1613,NetBill Key Repository
2737,1614,NetBill Credential Server
2738,1614,NetBill Credential Server
2739,1615,NetBill Authorization Server
2740,1615,NetBill Authorization Server
2741,1616,NetBill Product Server
2742,1616,NetBill Product Server
2743,1617,Nimrod Inter-Agent Communication
2744,1617,Nimrod Inter-Agent Communication
2745,1618,skytelnet
2746,1618,skytelnet
2747,1619,xs-openstorage
2748,1619,xs-openstorage
2749,1620,faxportwinport
2750,1620,faxportwinport
2751,1621,softdataphone
2752,1621,softdataphone
2753,1622,ontime
2754,1622,ontime
2755,1623,jaleosnd
2756,1623,jaleosnd
2757,1624,udp-sr-port
2758,1624,udp-sr-port
2759,1625,svs-omagent
2760,1625,svs-omagent
2761,1626,Shockwave
2762,1626,Shockwave
2763,1627,T.128 Gateway
2764,1627,T.128 Gateway
2765,1628,LonTalk normal
2766,1628,LonTalk normal
2767,1629,LonTalk urgent
2768,1629,LonTalk urgent
2769,1630,Oracle Net8 Cman
2770,1630,Oracle Net8 Cman
2771,1631,Visit view
2772,1631,Visit view
2773,1632,PAMMRATC
2774,1632,PAMMRATC
2775,1633,PAMMRPC
2776,1633,PAMMRPC
2777,1634,Log On America Probe
2778,1634,Log On America Probe
2779,1635,EDB Server 1
2780,1635,EDB Server 1
2781,1636,ISP shared public data control
2782,1636,ISP shared public data control
2783,1637,ISP shared local data control
2784,1637,ISP shared local data control
2785,1638,ISP shared management control
2786,1638,ISP shared management control
2787,1639,cert-initiator
2788,1639,cert-initiator
2789,1640,cert-responder
2790,1640,cert-responder
2791,1641,InVision
2792,1641,InVision
2793,1642,isis-am
2794,1642,isis-am
2795,1643,isis-ambc
2796,1643,isis-ambc
2797,1644,Satellite-data Acquisition System 4
2798,1644,Satellite-data Acquisition System 4
2799,1645,SightLine
2800,1645,SightLine
2801,1646,sa-msg-port
2802,1646,sa-msg-port
2803,1647,rsap
2804,1647,rsap
2805,1648,concurrent-lm
2806,1648,concurrent-lm
2807,1649,kermit
2808,1649,kermit
2809,1650,nkdn
2810,1650,nkd
2811,1651,"shiva_confsrvr
IANA assigned this well-formed service name as a replacement for ""shiva_confsrvr""."
2812,1651,shiva_confsrvr
2813,1651,"shiva_confsrvr
IANA assigned this well-formed service name as a replacement for ""shiva_confsrvr""."
2814,1651,shiva_confsrvr
2815,1652,xnmp
2816,1652,xnmp
2817,1653,alphatech-lm
2818,1653,alphatech-lm
2819,1654,stargatealerts
2820,1654,stargatealerts
2821,1655,dec-mbadmin
2822,1655,dec-mbadmin
2823,1656,dec-mbadmin-h
2824,1656,dec-mbadmin-h
2825,1657,fujitsu-mmpdc
2826,1657,fujitsu-mmpdc
2827,1658,sixnetudr
2828,1658,sixnetudr
2829,1659,Silicon Grail License Manager
2830,1659,Silicon Grail License Manager
2831,1660,skip-mc-gikreq
2832,1660,skip-mc-gikreq
2833,1661,netview-aix-1
2834,1661,netview-aix-1
2835,1662,netview-aix-2
2836,1662,netview-aix-2
2837,1663,netview-aix-3
2838,1663,netview-aix-3
2839,1664,netview-aix-4
2840,1664,netview-aix-4
2841,1665,netview-aix-5
2842,1665,netview-aix-5
2843,1666,netview-aix-6
2844,1666,netview-aix-6
2845,1667,netview-aix-7
2846,1667,netview-aix-7
2847,1668,netview-aix-8
2848,1668,netview-aix-8
2849,1669,netview-aix-9
2850,1669,netview-aix-9
2851,1670,netview-aix-10
2852,1670,netview-aix-10
2853,1671,netview-aix-11
2854,1671,netview-aix-11
2855,1672,netview-aix-12
2856,1672,netview-aix-12
2857,1673,Intel Proshare Multicast
2858,1673,Intel Proshare Multicast
2859,1674,Intel Proshare Multicast
2860,1674,Intel Proshare Multicast
2861,1675,Pacific Data Products
2862,1675,Pacific Data Products
2863,1676,netcomm1
2864,1676,netcomm2
2865,1677,groupwise
2866,1677,groupwise
2867,1678,prolink
2868,1678,prolink
2869,1679,darcorp-lm
2870,1679,darcorp-lm
2871,1680,microcom-sbp
2872,1680,microcom-sbp
2873,1681,sd-elmd
2874,1681,sd-elmd
2875,1682,lanyon-lantern
2876,1682,lanyon-lantern
2877,1683,ncpm-hip
2878,1683,ncpm-hip
2879,1684,SnareSecure
2880,1684,SnareSecure
2881,1685,n2nremote
2882,1685,n2nremote
2883,1686,cvmon
2884,1686,cvmon
2885,1687,nsjtp-ctrl
2886,1687,nsjtp-ctrl
2887,1688,nsjtp-data
2888,1688,nsjtp-data
2889,1689,firefox
2890,1689,firefox
2891,1690,ng-umds
2892,1690,ng-umds
2893,1691,empire-empuma
2894,1691,empire-empuma
2895,1692,sstsys-lm
2896,1692,sstsys-lm
2897,1693,rrirtr
2898,1693,rrirtr
2899,1694,rrimwm
2900,1694,rrimwm
2901,1695,rrilwm
2902,1695,rrilwm
2903,1696,rrifmm
2904,1696,rrifmm
2905,1697,rrisat
2906,1697,rrisat
2907,1698,RSVP-ENCAPSULATION-1
2908,1698,RSVP-ENCAPSULATION-1
2909,1699,RSVP-ENCAPSULATION-2
2910,1699,RSVP-ENCAPSULATION-2
2911,1700,mps-raft
2912,1700,mps-raft
2913,1701,l2f
2914,1701,l2f
2915,1701,l2tp
2916,1701,l2tp
2917,1702,deskshare
2918,1702,deskshare
2919,1703,hb-engine
2920,1703,hb-engine
2921,1704,bcs-broker
2922,1704,bcs-broker
2923,1705,slingshot
2924,1705,slingshot
2925,1706,jetform
2926,1706,jetform
2927,1707,vdmplay
2928,1707,vdmplay
2929,1708,gat-lmd
2930,1708,gat-lmd
2931,1709,centra
2932,1709,centra
2933,1710,impera
2934,1710,impera
2935,1711,pptconference
2936,1711,pptconference
2937,1712,resource monitoring service
2938,1712,resource monitoring service
2939,1713,ConferenceTalk
2940,1713,ConferenceTalk
2941,1714,sesi-lm
2942,1714,sesi-lm
2943,1715,houdini-lm
2944,1715,houdini-lm
2945,1716,xmsg
2946,1716,xmsg
2947,1717,fj-hdnet
2948,1717,fj-hdnet
2949,1718,H.323 Multicast Gatekeeper Discover
2950,1718,H.323 Multicast Gatekeeper Discover
2951,1719,H.323 Unicast Gatekeeper Signaling
2952,1719,H.323 Unicast Gatekeeper Signaling
2953,1720,H.323 Call Control Signalling
2954,1720,H.323 Call Control Signalling
2955,1720,H.323 Call Control
2956,1721,caicci
2957,1721,caicci
2958,1722,HKS License Manager
2959,1722,HKS License Manager
2960,1723,pptp
2961,1723,pptp
2962,1724,csbphonemaster
2963,1724,csbphonemaster
2964,1725,iden-ralp
2965,1725,iden-ralp
2966,1726,IBERIAGAMES
2967,1726,IBERIAGAMES
2968,1727,winddx
2969,1727,winddx
2970,1728,TELINDUS
2971,1728,TELINDUS
2972,1729,CityNL License Management
2973,1729,CityNL License Management
2974,1730,roketz
2975,1730,roketz
2976,1731,MSICCP
2977,1731,MSICCP
2978,1732,proxim
2979,1732,proxim
2980,1733,SIMS - SIIPAT Protocol for Alarm Transmission
2981,1733,SIMS - SIIPAT Protocol for Alarm Transmission
2982,1734,Camber Corporation License Management
2983,1734,Camber Corporation License Management
2984,1735,PrivateChat
2985,1735,PrivateChat
2986,1736,street-stream
2987,1736,street-stream
2988,1737,ultimad
2989,1737,ultimad
2990,1738,GameGen1
2991,1738,GameGen1
2992,1739,webaccess
2993,1739,webaccess
2994,1740,encore
2995,1740,encore
2996,1741,cisco-net-mgmt
2997,1741,cisco-net-mgmt
2998,1742,3Com-nsd
2999,1742,3Com-nsd
3000,1743,Cinema Graphics License Manager
3001,1743,Cinema Graphics License Manager
3002,1744,ncpm-ft
3003,1744,ncpm-ft
3004,1745,remote-winsock
3005,1745,remote-winsock
3006,1746,ftrapid-1
3007,1746,ftrapid-1
3008,1747,ftrapid-2
3009,1747,ftrapid-2
3010,1748,oracle-em1
3011,1748,oracle-em1
3012,1749,aspen-services
3013,1749,aspen-services
